Question,Answer
What medications can make psoriasis worse?,"['Some treatments can make psoriasis worse. These include: Lithium, which treats bipolar disorder and other mental illnesses High blood pressure and heart medicines, including propranolol ( Inderal) and other beta-blockers, ACE inhibitors, and quinidine Antimalarial medicines, including chloroquine, hydroxychloroquine ( Plaquenil), and quinacrine Indomethacin ( Indocin), which treats inflammation Psoriasis usually is worse in the beginning stages of HIV infection, but then it gets better after you start certain treatments.']"
How can psoriasis be triggered?,"['When you have psoriasis, the genes that control your immune system signals get mixed up.']"
How can hormone changes trigger psoriasis?,"['The disease often shows up or flares during puberty. Menopause can also trigger it. During pregnancy, your symptoms may get better or even go away.']"
How many people are affected by psoriasis?,"['About 10 in every 100 people have genes that make them more likely to get psoriasis, but only two or three of them actually do.']"
What infections can trigger psoriasis?,"['Scientists have found about 25 genes that are different in people with psoriasis. Kids will often have strep throat before their first flare. Earaches, bronchitis, tonsillitis, or a respiratory infection such as a cold, the flu, or skin problems.']"
What happens if you have psoriasis?,"[""Psoriasis turns your skin cells into type A overachievers: They grow about five times faster than normal skin cells. But it's likely a combination of genetics and triggers. Little bits of your DNA, called genes, are instructions for your cells. Scientists think your immune system may respond to emotional and mental pressures the same way it does to physical problems like injuries and infections.""]"
When should you call your doctor about eczema?,"[""You develop an itchy rash and have a family history of eczema or asthma. The inflammation doesn't respond within a week to treatment with over-the-counter hydrocortisone creams. You may need more aggressive forms of treatment. You develop yellowish to light brown crust or pus-filled blisters over existing patches of eczema. This may indicate a bacterial infection that should be treated with an antibiotic. During a flare-up of eczema, you are exposed to anyone with a viral skin disease such as cold sores or genital herpes. Having eczema puts you at increased risk of contracting the herpes simplex virus. You develop numerous painful, small, fluid-filled blisters in the areas of eczema. You may have eczema herpeticum, a rare but potentially serious complication caused by the herpes simplex virus.""]"
What happens when testosterone levels rise in women?,"['If your body produces too much testosterone, you may have irregular or absent menstrual periods. You may also have more body hair than the average woman. Some women with high testosterone levels develop frontal balding. Other possible effects include acne, an enlarged clitoris, increased muscle mass, and deepening of voice. High levels of testosterone can also lead to infertility and are commonly seen in polycystic ovarian syndrome ( PCOS).']"
What are the symptoms of polycystic ovarian syndrome (PCOS)?,"[""They include: Obesity An apple-shaped body Excessive or thinning hair Acne Menstrual irregularity PCOS is associated with: Higher levels of circulating male hormones Insulin resistance Carbohydrate intolerance -- conditions that make you prone to gaining weight Low levels of HDL -- ''good'' -- cholesterol Elevated triglycerides High LDL -- ''bad'' -- cholesterol Obesity High blood pressure As women with PCOS age, the presence of these risk factors increases their risk for heart disease.""]"
What is dyshidrotic dermatitis?,['This type of eczema affects the hands and feet. The cause is unknown.']
What are the symptoms of dyshidrotic dermatitis?,"['The first symptom may be severe itching. Blisters may then appear, which give way a few weeks later to scaly patches. Sometimes deep cracks can appear on the hands or fingers. This type of eczema may become chronic and painful.']"
How does neurodermatitis develop?,"['However, factors that may raise the chance that an outbreak will strike include: Cold, dry air Exposure to chemicals such as formaldehyde Exposure to metals, including nickel Treatments for nummular dermatitis include: Protecting your skin from scratches and other injuries Taking a lukewarm bath or shower, then applying a moisturizer to your skin Applying a steroid ointment to the rash Taking a steroid medication by mouth or injection that goes to work throughout your body Taking antibiotics if an infection develops People with this type of eczema develop skin irritation in spots that they frequently scratch out of habit.']"
How does stasis dermatitis develop?,"[""The treatments include: Shampoo containing salicylic acid, selenium sulfide, zinc pyrithione, or coal tar Antifungal treatments that are rubbed onto affected areas Steroid lotions This type of eczema can develop in people when the veins in their lower legs don't properly return blood to their heart. Stasis dermatitis can arise quickly, causing weeping and crusting of the skin. Over time, this type of eczema can cause the skin to develop brown stains.""]"
What is atopic dermatitis?,['Eczema is a common problem that causes the skin to become inflamed. People often also call it dermatitis.']
Who can get nummular dermatitis?,"[""Treatments include: Cool, wet compresses Steroid drugs that are rubbed onto the skin or taken by mouth Psoralen combined with ultraviolet A therapy This type of eczema more often affects men than women. Men usually don't get their first outbreak before their mid-50s. Women tend to get it in their teen years or early adulthood.""]"
How is seborrheic dermatitis treated?,"[""Treatments vary between infants and people with the condition later in life. The treatments include: Shampoo containing salicylic acid, selenium sulfide, zinc pyrithione, or coal tar Antifungal treatments that are rubbed onto affected areas Steroid lotions This type of eczema can develop in people when the veins in their lower legs don't properly return blood to their heart.""]"
How is neurodermatitis treated?,"['The main treatment for this type of eczema is to stop scratching it. In the meantime, steroid medicines that are rubbed onto the skin can help treat symptoms. When neurodermatitis affects the scalp, it can be harder to treat. In these cases, it may require the steroid medication prednisone, which is taken by mouth.']"
How is dyshidrotic dermatitis treated?,"['Treatments include: Cool, wet compresses Steroid drugs that are rubbed onto the skin or taken by mouth Psoralen combined with ultraviolet A therapy This type of eczema more often affects men than women.']"
What happens if you have neurodermatitis?,"[""Severely affected skin may develop painful, deep cracks, also called fissures. This type of eczema often affects these areas: Back Sides or back of the neck Genitals Scalp Wrists Ankles Inside and behind the ear People may scratch affected areas during the day without realizing it. They may also scratch while asleep. Usually, neurodermatitis causes a skin outbreak that doesn't get any bigger.""]"
How is atopic dermatitis treated?,"['Antibiotics to treat infections Ultraviolet light, alone or with a drug called psoralen There are two types of contact dermatitis: Irritant contact dermatitis Allergic contact dermatitis These types of eczema can develop after a substance damages the skin. Treatments include: Steroid creams or ointments Creams or lotions that lubricate the skin Moist compresses Antibiotics to treat infections Elevating the legs Compression stockings']"
What can cause nummular dermatitis?,"['The cause is unknown. However, factors that may raise the chance that an outbreak will strike include: Cold, dry air Exposure to chemicals such as formaldehyde Exposure to metals, including nickel Treatments for nummular dermatitis include: Protecting your skin from scratches and other injuries Taking a lukewarm bath or shower, then applying a moisturizer to your skin Applying a steroid ointment to the rash Taking a steroid medication by mouth or injection that goes to work throughout your body Taking antibiotics if an infection develops People with this type of eczema develop skin irritation in spots that they frequently scratch out of habit.']"
What is psoriatic juvenile arthritis?,['Psoriatic arthritis affects children who have both arthritis and the skin disorder psoriasis. The child might get either the psoriasis or the arthritis years before developing the other part of the disease. Children with this type of arthritis often have pitted fingernails.']
What are prescription options to treat guttate psoriasis?,"['There are several over-the-counter or prescription options for the itchy, flaky skin, as well as the dryness and swelling. They include: Cortisone cream for itching and swelling Dandruff shampoo for your scalp Lotions with coal tar to soothe your skin Moisturizers Prescription medicines with or vitamin AIf your case is more serious, your doctor may give you a prescription to take by mouth.']"
What causes guttate psoriasis?,"['An outbreak is usually triggered by a bacterial infection -- typically streptococcus (strep throat). It sets off an immune system reaction that causes the spots on your skin. In some cases, guttate psoriasis is genetic. If someone in your family has it, your chances of getting it go up.']"
What may your doctor prescribe to treat guttate psoriasis?,"['Your symptoms may clear up more quickly in summer. They include: Cortisone cream for itching and swelling Dandruff shampoo for your scalp Lotions with coal tar to soothe your skin Moisturizers Prescription medicines with or vitamin AIf your case is more serious, your doctor may give you a prescription to take by mouth. These include: Corticosteroids Methotrexate Apremilast ( Otezla) Phototherapy. Also known as light therapy, this is another option. Sometimes, just going out into the sunshine can help.']"
What are some side effects of prednisone to treat thrombocytopenia?,"[""Dexamethasone or prednisone is typically prescribed to raise your platelet count. Even after a short time, you can get irritable, have stomach upsets, and have other problems such as: Sleep problems Weight gain Puffy cheeks Peeing a lot Lower bone density Acne Besides side effects, another disadvantage to prednisone is that your platelet count may drop once you've finished your treatment.""]"
How can you treat hand and foot psoriasis?,"[""Because you use your hands and feet so much, treatment can be a challenge. The condition can affect your ability to walk, button a shirt, hold a pencil, and do many other regular things. It's best if you act quickly and do what you can to prevent flares. Start with a visit to your doctor as soon you notice symptoms. She'll try different options until she finds the one that's right for you.""]"
What can I do to keep my nails safe if I have psoriasis?,"[""Take some steps to keep your nails safe: Keep them short. Cover loose nails with a bandage or gloves (not latex). Don't bite your nails or use them to open things.""]"
What are the different types of treatment for hand and foot psoriasis?,"[""Some treatments are: Medicines that go on your skin Prescription drugs in liquid or pill form Special light therapy units for palms and soles Biologic drugs that you get through an IV or as an injection Your doctor may also recommend you use super glue to seal cracks in your palms and soles. It's important to make sure you don't have an allergy to the glue before trying it. Keep your skin moisturized with lotion and drink plenty of water. When it's dry it cracks more easily, which can lead to more blisters. Skin that's hydrated can also take in on-the-skin treatment better and heal faster.""]"
What causes hand and foot psoriasis?,"['One type of hand and foot psoriasis is called pustular psoriasis. It gets its name from the whitish-yellow blisters, or pustules, it causes. The blisters are not contagious, but they can be painful. They can show up anywhere on your body, but mostly on the palms of your hands and soles of your feet.']"
Can psoriasis affect my nails?,"[""Half of all people with psoriasis have it on their nails. If you have psoriatic arthritis, you're even more likely to have symptoms there. Psoriasis can affect your nails in many ways. It can: Change the color or shape Make dents Make them thick with scale under the nail plate Chip or split Make it easier for them to fall off or lift away from the nail bed Be painful to touch Make small pits on the surface What Can I Do for My Nails?""]"
What can you do to keep your nails safe from hand and foot psoriasis?,"[""Take some steps to keep your nails safe: Keep them short. Cover loose nails with a bandage or gloves (not latex). Don't bite your nails or use them to open things. Everyday things you do for your overall health help, too. Eat well, exercise, and keep your stress levels low. All these things help your psoriasis treatments work better, so you're less likely to have a flare.""]"
What are the causes of psoriasis on the hands and feet?,"[""One type of hand and foot psoriasis is called pustular psoriasis. It gets its name from the whitish-yellow blisters, or pustules, it causes. The blisters are not contagious, but they can be painful. They can show up anywhere on your body, but mostly on the palms of your hands and soles of your feet. They can be triggered by: Some medications Irritation from creams or ointments Too much UV light Pregnancy Steroids Infections Stress Stopping medication quickly If you smoke, you're more likely to get pustular psoriasis.""]"
What can I do to treat psoriasis on my nails?,"[""Psoriasis affects them as they're forming, which can make it tricky to treat. In some cases, you can use an ointment to take care of a flare-up on your skin, but your thickened nail may keep those treatments from sinking in to the problem area. Instead, your doctor may recommend: Corticosteroid shots Scraping or filing the nail Removing the nails Light therapy Sometimes it goes away on its own, with no treatment.""]"
What does psoriasis on the hands and feet look like?,"[""The skin on your hands and feet becomes red, and then blisters appear. You can also get scales around the blisters. Your palms and soles can swell, crack, and bleed. Pressure or rubbing on your hands and feet -- like from shoes that don't fit -- can make the problem worse. After the blisters burst, they might dry up or make your skin crusty and brown.""]"
Does smoking cause psoriasis on the hands and feet?,"[""They can be triggered by: Some medications Irritation from creams or ointments Too much UV light Pregnancy Steroids Infections Stress Stopping medication quickly If you smoke, you're more likely to get pustular psoriasis. It's more common in adults than children, and women tend to get it more than men.""]"
Is it possible to treat psoriasis on your hands and feet?,"[""If they're inflamed with psoriasis, simple tasks can become hard to do. With the right treatment, you can control your symptoms and get relief for your hands, feet, and nails. They can show up anywhere on your body, but mostly on the palms of your hands and soles of your feet. In some cases, you can use an ointment to take care of a flare-up on your skin, but your thickened nail may keep those treatments from sinking in to the problem area.""]"
Are there side effects of corticosteroids used to treat psoriasis?,"[""Whether you get them depends a lot on the strength of the corticosteroid, how large an area you spread it on, and how long you use it. To lower your risk, your doctor may look for the weakest one that can get the job done in the shortest time. Some common side effects that could happen to you: Thinning of your skin Changes in skin coloring You bruise easily Stretch marks Skin gets reddish Broken blood vessels Increased hair growth in localized areas Infections You become sensitive to light Corticosteroids can be absorbed through your skin and sometimes cause health problems such as high blood pressure, high blood sugar, and a hormonal problem called Cushing's syndrome.""]"
When are weaker coricosteroids best to treat psoriasis?,"['Weaker corticosteroids are best if you need to use it on sensitive areas such as your face, groin, or breasts. Your doctor may also prescribe a lower-strength version if you have to use it for a long time. Mild to mid-strength ones can be used for children.']"
When are stronger corticosteroids used to treat psoriasis?,"[""You may need a stronger one if you have a severe form of psoriasis. It's also a good choice for spots with thicker skin, such as your palms or the soles of your feet.""]"
What are the side effects of using topical corticosteroids to treat psoriasis?,"[""To lower your risk, your doctor may look for the weakest one that can get the job done in the shortest time. Some common side effects that could happen to you: Thinning of your skin Changes in skin coloring You bruise easily Stretch marks Skin gets reddish Broken blood vessels Increased hair growth in localized areas Infections You become sensitive to light Corticosteroids can be absorbed through your skin and sometimes cause health problems such as high blood pressure, high blood sugar, and a hormonal problem called Cushing's syndrome. When you put it on your skin, use a small amount and only on the area that needs treatment.""]"
How do you use topical corticosteroids to treat psoriasis?,"[""The two of you will work together to find the strength and dose that works best for you. Your doctor will tell you how often to apply the medicine. Don't overdo it. When you put it on your skin, use a small amount and only on the area that needs treatment. Skin only. Never use a topical corticosteroid on your eyes unless your doctor tells you to. It can cause glaucoma or cataracts. Keep an eye on the calendar. Use this treatment only for as long as your doctor says you should. Don't stop suddenly. If you do it can cause your psoriasis to flare up. To keep that from happening, your doctor will slowly decrease the amount you use.""]"
What are some tips for using a topical corticosteroid for psoriasis?,"[""Your doctor may also prescribe a lower-strength version if you have to use it for a long time. A few simple tips can help you get the best results -- and keep you safe, too: Follow instructions. Skin only. Never use a topical corticosteroid on your eyes unless your doctor tells you to. It can cause glaucoma or cataracts. Don't stop suddenly. If you do it can cause your psoriasis to flare up.""]"
How much aloe vera should you use?,"['Some creams for minor burns have just 0.5% aloe vera. Others used for psoriasis may contain as much as 70% aloe vera. As an oral supplement, aloe has no set dose. For constipation, some use 100-200 milligrams of aloe juice -- or 50 milligrams of aloe extract -- daily as needed. For diabetes, 1 tablespoon of the gel has been used daily. High oral doses of aloe or aloe latex are dangerous. Ask your doctor for advice on how to use aloe.']"
What are the uses of aloe vera?,"[""Studies have shown that aloe gel might be effective in treating psoriasis, seborrhea, dandruff, and minor burns and skin abrasions, as well as radiation-induced skin injuries. Aloe gel also seems helpful in treating the sores caused by genital herpes in men. There's also strong evidence that aloe juice, which contains latex, taken by mouth is a powerful laxative. Aloe vera gel taken orally (by mouth) seems to help lower blood sugar levels in people with diabetes. It may also help to lower cholesterol.""]"
What can cause a man to have acne?,"[""Men whose fathers had severe acne are more likely to have it, too. Some medications such as lithium, which treats bipolar disorder, and corticosteroids like prednisone can also bring on acne. Men often get acne on the face and back. Sweating can make it worse. Breakouts on the back often happen in hot weather or after exercising. They're harder to control than the kind on your face. But fewer people see your back. Some men get shaving bumps that look like acne, but ingrown hairs or shaving mistakes are the real cause.""]"
What causes acne?,"['For most people, changes in hormone levels trigger acne. These hormones create oils that can lead to clogged pores, which sometimes let bacteria grow. Both of these problems cause breakouts. Men whose fathers had severe acne are more likely to have it, too. Some medications such as lithium, which treats bipolar disorder, and corticosteroids like prednisone can also bring on acne.']"
Are there high-tech options fo treat stubborn acne?,"['One of them is a laser skin treatment, and another is light therapy combined with vacuum therapy. These can be expensive, and your insurance may not cover them, so check first.']"
What can a man do if his acne won't go away?,"[""If you've tried at-home treatments for 4-8 weeks and your acne won't go away, it may be time to see a dermatologist. At your appointment, your dermatologist will check your skin and recommend a treatment plan. You might need a prescription for antibiotics, prescription-strength benzoyl peroxide or salicylic acid, or a type of drug called retinoids. If your acne is severe, your dermatologist may consider a drug called isotretinoin. Women who plan to get pregnant must avoid this drug, because it can cause birth defects. But men don't need to take extra precautions to avoid getting their partner pregnant.""]"
What can men do to cut down on acne break-outs on their backs?,"[""When you shower, use a cleansing brush with an extension to wash hard-to-reach areas on your back. A sonic cleansing system with a changeable brush head is another option. Benzoyl peroxide or salicylic acid products can help control acne on your back. You don't need a prescription for them. But go easy, because these can be drying. A white, cotton tee-shirt is the best thing to have closest to your skin.""]"
Can grown men have acne?,"['But there are treatments, even for severe acne decades after you finished high school. Men whose fathers had severe acne are more likely to have it, too.']"
What can men do to cut down on acne break-outs on the face?,"[""Many cleansers are available. In general, avoid products with beads in them, because they can irritate your skin. Wash twice a day. Use a fresh washcloth that's gentle on your skin. When you shave, use a clean razor every time. You might want to use an over-the-counter product with benzoyl peroxide, retinol, or salicylic acid. Your doctor can prescribe an antibiotic foam that you can mix with your shaving cream to help prevent breakouts. If shaving bumps are a problem for you, try an electric razor, and don't shave too closely. At your appointment, your dermatologist will check your skin and recommend a treatment plan.""]"
How do allergies and eczema affect each other?,"[""Kids with allergies -- especially to foods like milk and peanuts -- are more likely to have eczema. Having parents with allergies or asthma increases a child's risk of eczema. Kids with eczema are more likely to get allergies and asthma later in life. Keeping your kid away from allergy triggers can ease eczema symptoms.""]"
What are physical signs of stress?,"[""If you've been stressed out for a short period of time, you may start to notice some of these physical signs: Headache Fatigue Difficulty sleeping Difficulty concentrating Upset stomach Irritability When stress becomes long-term and is not properly addressed, it can lead to a number of more serious health conditions, including: Depression High blood pressure Abnormal heartbeat (arrhythmia) Hardening of the arteries (atherosclerosis) Heart disease Heart attack Heartburn, ulcers, irritable bowel syndrome Upset stomach -- cramps, constipation, and diarrhea Weight gain or loss Changes in sex drive Fertility problems Flare-ups of asthma or arthritis Skin problems such as acne, eczema, and psoriasis Managing your stress can make a real difference to your health.""]"
What health problems can long-term stress cause?,"[""If you've been stressed out for a short period of time, you may start to notice some of these physical signs: Headache Fatigue Difficulty sleeping Difficulty concentrating Upset stomach Irritability When stress becomes long-term and is not properly addressed, it can lead to a number of more serious health conditions, including: Depression High blood pressure Abnormal heartbeat (arrhythmia) Hardening of the arteries (atherosclerosis) Heart disease Heart attack Heartburn, ulcers, irritable bowel syndrome Upset stomach -- cramps, constipation, and diarrhea Weight gain or loss Changes in sex drive Fertility problems Flare-ups of asthma or arthritis Skin problems such as acne, eczema, and psoriasis Managing your stress can make a real difference to your health.""]"
How do you know if you have pustular psoriasis?,"[""You'll see white bumps filled with pus near or inside red skin blotches.""]"
What is Von Zumbusch pustular psoriasis?,"['Pustular psoriasis is a skin disease. Generalized or Von Zumbusch: Red, painful, tender skin blotches show up over a wide area of your body, and pus-filled blisters pop up soon after.']"
What is annular (ring-shaped) pustular psoriasis?,"[""Pustular psoriasis is a skin disease. Note the clearly defined, raised bumps on the skin that are filled with pus (pustules). This type of psoriasis may come and go. But in this case, they attack your own skin by mistake. Sometimes, one treatment doesn't do the trick. You may need to combine one or more to feel better.""]"
What is acropustulosis relative to pustular psoriasis?,"[""It's most likely to affect: The palms of your hands The soles of your feet Your fingers and toes Even though you see pus on your bumps, it's not an infection. The pain can make it hard to use your fingers or toes. In rare cases, it can cause nail or even bone damage.""]"
How does pustular psoriasis develop?,"[""You'll see white bumps filled with pus near or inside red skin blotches. Pustular psoriasis. This is a rare, serious disease -- see your doctor right away if you have these symptoms.""]"
What are the symptoms of Von Zumbusch pustular psoriasis?,"['People who smoke are more likely to get this form. You also might be very tired or have fever, chills, dehydration, nausea, weak muscles, headache, joint pain, a fast pulse, or weight loss. This is a rare, serious disease -- see your doctor right away if you have these symptoms. The goal of treatment is to ease your symptoms and control outbreaks. Widespread outbreak: If you have generalized or Von Zumbusch psoriasis, get medical care right away.']"
What is annular pustular psoriasis?,"[""Pustular psoriasis is a skin disease. Note the clearly defined, raised bumps on the skin that are filled with pus (pustules). Sometimes, one treatment doesn't do the trick. You may need to combine one or more to feel better.""]"
What can pustular psoriasis cause?,"['Pustular psoriasis is a skin disease. Pustular psoriasis. Palmoplantar pustulosis ( PPP): Blisters form on small areas of your body, usually your palms or the soles of your feet.']"
What can trigger eczema?,"[""But adults who never had it can get it, too. Doctors don't know what causes it. They think it's a mix of genetics and things in your environment that your skin reacts to, like: Wool Soap Perfume Makeup Chlorine Cigarette smoke You might notice these symptoms: Red, irritated, or swollen skin Crusting or oozing Scaly patches that feel rough or leathery Severe itching Silvery white scales that cover thick red, raised patches of skin are a telltale sign of plaque psoriasis.""]"
How many types of psoriasis are there?,"[""The new and old cells clump together, causing thick, itchy patches, sores, and scales There are several different types of psoriasis. Scaly skin is most common with plaque psoriasis. It can show up on your knees, scalp, elbows, palms, lower back and the soles of your feet. The condition may also cause your nails to pit, crumble, or fall off. Psoriasis can be passed down through families. Infections, stress, obesity, and smoking can increase your risk for psoriasis. It isn't contagious.""]"
How many forms are there of ichthyosis?,"[""There are several reasons for scaly skin. Scaly skin is most common with plaque psoriasis. If you have dry, scaly skin that doesn't go away, jot down any other symptoms you have and when they happen.""]"
What happens in psoriatic arthritis?,"[""What happens: This type of arthritis usually starts between ages 30 and 50, but it can start as early as childhood. It's equally common among men and women. The skin disease (psoriasis) usually shows up first.""]"
What is psoriatic arthritis?,"['People with this condition have inflammation of the skin (psoriasis) and joints (arthritis). Psoriasis causes patchy, raised, red and white areas of inflamed skin with scales. It usually affects the tips of the elbows and knees, the scalp, the navel, and skin around the genital areas or anus. Only about 10% to 30% of people with psoriasis will also get psoriatic arthritis.']"
What is moodiness like in periods?,"[""You love everybody. You can't stand anybody. All at the same time. Hello hormones. Before and during your period, hormones are hard at work moving your body through each phase. When those hormones rise and fall, so does your mood. During PMS and your period, expect to feel everything from crabbiness and anger to feeling more anxious or down than normal. You can't avoid the mood swings that come with your period, but it does help to get good sleep, stay active, and steer clear of caffeine and unhealthy foods to keep the lows from feeling too low. These choices can also cut down on breast tenderness, acne, bloating, and food cravings that come with the menstrual cycle.""]"
Should I tell my coworkers that I have eczema?,"[""If your co-workers aren't familiar with eczema, you may worry about what they think about your skin issues. Your co-workers may not know that eczema is a chronic skin condition that isn't contagious. They might not realize it can cause problems (like pain and bleeding, cracking skin) -- or even that it can show up on areas of your body like your hands. If you're embarrassed or ashamed about your skin or the problems your eczema causes, it can help to have a short conversation with your co-workers. You don't have to tell them everything, but you could say something like, â\x80\x9c I have a condition called eczema that can make my skin irritated. You can't catch it.â\x80\x9d Don't be afraid to ask others for help when you need it.""]"
How might eczema affect my job?,"[""That's especially true if yours is severe or appears on your hands. The itching, burning, and open, oozing wounds that eczema causes can make it hard to use your hands. During a flare-up, you might not be as productive as you'd like. You may not be able to do all the tasks that you'd normally do. You may also need to take time off while you heal or go to doctor's appointments. If your co-workers aren't familiar with eczema, you may worry about what they think about your skin issues.""]"
How does eczema affect my job?,"[""The itching, burning, and open, oozing wounds that eczema causes can make it hard to use your hands. During a flare-up, you might not be as productive as you'd like. You may not be able to do all the tasks that you'd normally do. You may also need to take time off while you heal or go to doctor's appointments. If your co-workers aren't familiar with eczema, you may worry about what they think about your skin issues.""]"
How can people with eczema steer clear of triggers in the workplace?,"[""You may also need to take time off while you heal or go to doctor's appointments. Keep them off your skin. Also try to make sure irritating substances stay off your clothes, other work gear, or your work surface. ( If your work area gets cleaned with these things, you may ask to wash your work area yourself, or wipe it down with plain water afterward.) If you have to come in contact with irritating substances, wear heavy vinyl gloves or neoprene gloves with cotton glove liners underneath.""]"
What should you tell your coworkers about your eczema?,"[""That's especially true if yours is severe or appears on your hands. The itching, burning, and open, oozing wounds that eczema causes can make it hard to use your hands. If your co-workers aren't familiar with eczema, you may worry about what they think about your skin issues. They might not realize it can cause problems (like pain and bleeding, cracking skin) -- or even that it can show up on areas of your body like your hands. You don't have to tell them everything, but you could say something like, â\x80\x9c I have a condition called eczema that can make my skin irritated. You can't catch it.â\x80\x9d Don't be afraid to ask others for help when you need it. Flare-ups come and go, and you can do your best to return the favor when you feel better.""]"
What are common eczema triggers in the workplace?,"['The itching, burning, and open, oozing wounds that eczema causes can make it hard to use your hands. Common eczema triggers include: Regular exposure to water (like washing dishes or frequent hand-washing) Antibacterial products, cleansers, or other products that contain alcohol or solvents. If you can, avoid triggers while you work. Keep them off your skin. Also try to make sure irritating substances stay off your clothes, other work gear, or your work surface. ( If your work area gets cleaned with these things, you may ask to wash your work area yourself, or wipe it down with plain water afterward.) If you have to come in contact with irritating substances, wear heavy vinyl gloves or neoprene gloves with cotton glove liners underneath.']"
What is pustular psoriasis?,"['Other types of psoriasis include: Pustular psoriasis , which causes red and scaly skin with tiny pustules on the palms of the hands and soles of the feet.']"
What is inverse psoriasis?,"['Inverse psoriasis , which makes bright red, shiny lesions that appear in skin folds, such as the armpits, groin, and under the breasts.']"
What can worsen psoriasis?,"['Things that can trigger an outbreak of psoriasis include: Cuts, scrapes, or surgery Emotional stress Strep infections Medications, including Blood pressure medications (like beta-blockers) Hydroxychloroquine, antimalarial medication Physical exam.']"
What are symptoms of psoriasis?,"[""$('.ua_type_mobile .article table').css('width','100%'); The symptoms of psoriasis vary depending on the type you have. Some common symptoms for plaque psoriasis -- the most common variety of the condition -- include: Plaques of red skin, often covered with silver-colored scales. These plaques may be itchy and painful, and they sometimes crack and bleed. In severe cases, the plaques will grow and merge, covering large areas. Disorders of the fingernails and toenails, including discoloration and pitting of the nails.""]"
What is psoriasis associated with?,['It causes pain and swelling in the joints. The National Psoriasis Foundation estimates that between 10% to 30% of people with psoriasis also have psoriatic arthritis.']
What is psoriasis?,"['Psoriasis is a skin disorder that causes skin cells to multiply up to 10 times faster than normal. This makes the skin build up into bumpy red patches covered with white scales. They can grow anywhere, but most appear on the scalp, elbows, knees, and lower back. Disorders of the fingernails and toenails, including discoloration and pitting of the nails.']"
What causes psoriasis?,"[""Things that can trigger an outbreak of psoriasis include: Cuts, scrapes, or surgery Emotional stress Strep infections Medications, including Blood pressure medications (like beta-blockers) Hydroxychloroquine, antimalarial medication Physical exam. This drug can cause bone marrow and liver disease as well as lung problems, so it's only for serious cases. Doctors closely watch patients. These work by blocking the body's immune system (which is overactive in psoriasis) to better control the inflammation from psoriasis.""]"
What do people who have psoriasis experience?,"['Psoriasis is a skin disorder that causes skin cells to multiply up to 10 times faster than normal. Luckily, there are many treatments.']"
What is guttate psoriasis?,"[""Guttate psoriasis , which often starts in childhood or young adulthood, causes small, red spots, mainly on the torso and limbs. These pills, creams, foams, lotions, and gels are a class of drugs related to vitamin A. Retinoids can cause serious side effects, including birth defects, so they're not recommended for women who are pregnant or planning to have children.""]"
Can infections trigger eczema?,"['Psoriasis often shows up on places like your: Elbows Knees Scalp and face Lower back Palms of your hands Soles of your feet You may also have patches on other areas, such as: Fingernails and toenails Mouth and lips Eyelids Ears Skin folds Eczema usually results from things that irritate your skin, like: Soaps Detergents Disinfectants Juices from produce or meats Things that cause allergies can also set off eczema, like: Dust Pets Pollen Mold Dandruff Some foods Infections can start up eczema, and so can stress, sweating, heat, humidity, and changes in your hormones.']"
How does eczema feel like?,['Eczema causes an intense itch. It can get so bad that you scratch enough to make your skin bleed.']
What conditions are linked to psoriasis?,"['If your disease is limited, or mild, you may be able to control it with topical corticosteroids and emollients.']"
Where does eczema appear on the body?,"['You can have it on your neck, wrists, and ankles. Babies sometimes get it on their chin, cheeks, scalp, chest, back, arms, and legs. Psoriasis often shows up on places like your: Elbows Knees Scalp and face Lower back Palms of your hands Soles of your feet You may also have patches on other areas, such as: Fingernails and toenails Mouth and lips Eyelids Ears Skin folds Eczema usually results from things that irritate your skin, like: Soaps Detergents Disinfectants Juices from produce or meats Things that cause allergies can also set off eczema, like: Dust Pets Pollen Mold Dandruff Some foods Infections can start up eczema, and so can stress, sweating, heat, humidity, and changes in your hormones.']"
What triggers psoriasis?,"['Psoriasis shares some of these triggers, like stress and infection. But you can also get flare-ups when your skin is injured, for example by: Vaccination Sunburn Scratches Some medications can also bring on a psoriasis flare, like , which treats bipolar disorder, or drugs for malaria.']"
What triggers eczema?,"['Psoriasis often shows up on places like your: Elbows Knees Scalp and face Lower back Palms of your hands Soles of your feet You may also have patches on other areas, such as: Fingernails and toenails Mouth and lips Eyelids Ears Skin folds Eczema usually results from things that irritate your skin, like: Soaps Detergents Disinfectants Juices from produce or meats Things that cause allergies can also set off eczema, like: Dust Pets Pollen Mold Dandruff Some foods Infections can start up eczema, and so can stress, sweating, heat, humidity, and changes in your hormones.']"
What age does eczema start?,"[""Eczema usually starts in babies or young children. Often, symptoms improve when a kid becomes a grown-up. It's less common, but possible, to get it as an adult. When that happens, it's usually because you have another condition like thyroid disease, hormone changes, or stress.""]"
At what age do people get psoriasis?,"[""Psoriasis, on the other hand, usually shows up between ages 15 and 35. But you can get it at other ages too. It's rare for a baby to have it.""]"
